Job name,Company Name,Job description,Key skills
c# Developer,CONNECTING 2 WORK,"c#, c, java, computer, programming, information, technology, php, ","c# , c , java , computer programming , information technology , php "
c# Developer,ykt talentica india pvt ltd,"c#, development, unity, engine, games, sdk, development, object, oriented, programming, android, and, ios, game, development, ","c# development , unity engine games , sdk development , object oriented programming , android and ios game development "
ASP.net c# Developer,cfcs new delhi-software engineer,"c#, css, html5, ajax, jquery, javascript, database, xml, oops, html, ","c# , css , html5 , ajax , jquery , javascript , database , xml , oops , html "
Fresher .net / c# Developer,VISTA IT SOLUTIONS,"c#, written, communication, .net, software, engineer, sql, database, ","c# , written communication , .net , software engineer , sql database "
ASP.net c# Developer,CONNECTING 2 WORK,"c#, css, software, design, html5, entity, framework, ajax, javascript, jquery, sql, oop, asp.net, .net, mvc, ","c# , css , software design , html5 , entity framework , ajax , javascript , jquery , sql , oop , asp.net , .net , mvc "
Asp.net Core c# Developer,ezulix software pvt ltd,"c#, ASP.net, MVC, ASP.net, WEB, API, .net, Core, ADO.net, /, Entity, Framework, Microsoft, SQL, Server, IIS, HTML5, CSS3, JavaScript, Angular, Typescript, Bootstrap, framework, microsoft, technologies, html5, ado.net, bootstrap, asp.net, web, api, mvc, c#, rest, entity, framework, triggers, javascript, visual, studio, soap, ","c# , ASP.net MVC , ASP.net WEB API , .net Core , ADO.net / Entity Framework , Microsoft SQL Server , IIS , HTML5 , CSS3 , JavaScript , Angular , Typescript , Bootstrap framework , microsoft technologies , html5 , ado.net , bootstrap , asp.net , web api , mvc , c# , rest , entity framework , triggers , javascript , visual studio , soap "
.net  /  c# developer,origin hr,"c#, sybase, javascript, database, programming, uml, oops, asp.net, system, development, .net, web, api, mvc, angularjs, ","c# , sybase , javascript , database programming , uml , oops , asp.net , system development , .net , web api , mvc , angularjs "
.net /  c# Developer,Host2Unlimited,"css, microsoft, technologies, html5, sql, server, development, jquery, database, json, web, api, mvc, object, oriented, programming, c#, rest, javascript, .net, soap, ","css , microsoft technologies , html5 , sql server development , jquery , database , json , web api , mvc , object oriented programming , c# , rest , javascript , .net , soap "
c# / .net Developer,ion trading india pvt. ltd.,"c#, .net, developer, software, design, messaging, sql, infrastructure, .net, ","c# , .net developer , software design , messaging , sql , infrastructure , .net "
c# .net Developer,Sara Technologies,"css, microsoft, technologies, vb.net, ajax, jquery, system, analysis, database, xml, asp.net, oops, json, html, mvc, c#, .net, developer, windows, javascript, c#, .net, .net, ","css , microsoft technologies , vb.net , ajax , jquery , system analysis , database , xml , asp.net , oops , json , html , mvc , c# , .net developer , windows , javascript , c# .net , .net "
Senior c# / .net Developer,aouse technologies pvt ltd,"c#, rest, css, .net, developer, javascript, jquery, sql, asp.net, html, ","c# , rest , css , .net developer , javascript , jquery , sql , asp.net , html "
"c# ,  ASP.net Developer",relate infotech private limited,"css, html5, ajax, asp.net, html, c#, javascript, visual, studio, ooad, .net, software, developer, jquery, sql, security, debugging, technical, skills, crm, rest, problem, solving, infrastructure, ","css , html5 , ajax , asp.net , html , c# , javascript , visual studio , ooad , .net , software developer , jquery , sql , security , debugging , technical skills , crm , rest , problem solving , infrastructure "
c#  /  MVC Developer,kudosindia,"c#, entity, framework, jquery, javascript, sql, linq, database, asp.net, oops, html, web, api, mvc, asp.net, c#, ","c# , entity framework , jquery , javascript , sql , linq , database , asp.net , oops , html , web api , mvc , asp.net c# "
c# Windows Developer,destiny hr group services,"c#, windows, linq, oops, .net, multithreading, web, api, ","c# , windows , linq , oops , .net , multithreading , web api "
ASP .net MVC / ASP.net c# Developer,softcom technologies  ( aptech edu ),"c#, css, entity, framework, ajax, javascript, jquery, linq, xml, asp.net, oops, html, mvc, windows, azure, cloud, computing, ","c# , css , entity framework , ajax , javascript , jquery , linq , xml , asp.net , oops , html , mvc , windows azure , cloud computing "
